subject,state,n_windows,score,score_average19,log_posterior_frontal_alpha,log_theta_alpha,score_first30,score_last30
sub-032303,EC,13,0.3455261782817838,0.4168460178629515,1.295120120048523,-0.7077598571777344,0.32642644658267994,0.38009800164024876
sub-032303,EO,14,0.736096729268809,0.9251510142620332,0.6382144689559937,0.01966860145330429,0.4025410016317801,0.9231829666527476
sub-032308,EC,14,0.44644432953959307,0.6820881478386421,2.4276167154312134,-2.0815958976745605,0.3573578452028306,0.4748951062047822
sub-032308,EO,14,0.709618837517215,0.970543896736117,1.0139783024787903,0.09953707829117775,0.4016186004685537,1.1142754023313608
sub-032318,EC,11,0.29877749100947426,0.37272171079694694,2.8552494049072266,-1.5183287858963013,0.2986965132873126,0.3079564291431093
sub-032318,EO,11,0.5692402582738126,0.6458656574354682,2.147392749786377,-0.5205313563346863,0.6167520612253323,0.696708255723614
sub-032331,EC,13,1.2974642764314983,0.9994726410470021,0.5218643546104431,0.07289130985736847,1.1321172555427663,0.6754792155418894
sub-032331,EO,13,0.7319547050879271,0.9400745742488903,0.9679050445556641,0.015544797293841839,0.6368681915709817,0.8838513317391321
sub-032337,EC,14,0.45731154020931986,0.6448109865848912,2.212032675743103,-1.6605046391487122,0.4726752166448631,0.45688857993007204
sub-032337,EO,14,0.8605315482801568,1.10368010319146,1.1276069283485413,-0.3365400731563568,0.8287382721210974,0.8605315482801568
sub-032338,EC,14,0.720120585625841,0.8778357293224923,1.1056803464889526,0.4895457327365875,0.7215393261468168,0.8609129332475349
sub-032338,EO,14,1.0117473980785197,0.8501997543841419,0.8898061513900757,0.6721121072769165,0.7752016023430568,1.1334061371291888
sub-032340,EC,11,0.7996193017249563,0.8647042401605247,1.0268877744674683,-0.31633591651916504,0.8499911505304143,0.6805357086354069
sub-032340,EO,12,0.8525078945959734,0.9073010763986089,1.1897960305213928,-0.11640234291553497,0.9074600884769011,0.7975557007150457
sub-032341,EC,14,0.4177713744218256,0.6515391550536721,0.8597630560398102,0.4313582181930542,0.5190508454456957,0.3557898974731652
sub-032341,EO,12,0.9183228093763467,1.049994666356236,0.4733368754386902,-0.034085300751030445,0.9362107464402422,0.8197546312623238
